sgds_point,id,a' c[h]as,a' chas b[h]eag,leis an [t-]sùil,f[h]ir bhig,a' chathair b[h]eag,an f[h]ir bhig,na balaich b[h]eaga,an t-sùil g[h]las,fhir b[h]ig,an [t-]sùil,an fhir b[h]ig,le sùil g[h]lais,fh[i]r bhig,[na] mnatha,[na] sùla glaise,[na] coise bige,an fh[i]r bhig,na [c]oise bige,na casan beag[a],fhir bh[i]g,na [mnatha],na cathraichean beag[a],[na] bà,an fhir bh[i]g,[na] cathrach bige,na balaich bheag[a],na sùla [g]laise,na sùilean glas[a],na [bà],na c[oi]se bige,na coise b[i]ge,nam [fear] beaga,na coise [b]ige,leis a' cho[i]s bhig,na cois[e] bige,don [bhoin],na cathrach b[i]ge,don [mhnaoi],na coise big[e],le c[oi]s bhig,na sùl[a] glaise,leis a' chois bh[i]g,leis an t-sùil g[h]lais,an [z]ùil ghlas,dà mhnaoi mhò[i]r,dà mhnaoi m[h]òir,le cois bh[i]g,na sùla gla[i]se,le sùil gla[i]s,leis an t-sùil ghla[i]s,na [cathrach] bige,na [sùla] glaise,dà [mhnaoi],nan [cas] beaga,nan [sùl] glas,district,township,total_1891,gaelic_1891,mono_1891,lat,lon,gender,yob,aggregate
Port of Ness,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,NA,0,0,1,1,0,1,NA,0,0,0,0,0,0,0,0,Lewis,Port of Ness,195,188,161,58.485015,-6.2394745,f,1922,29
Upper Shader,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,Lewis,Upper Shader,207,181,93,58.395686,-6.4856591,m,1913,22
Bragar,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,Lewis,Bragar,652,381,264,58.327547,-6.6308872,m,1898,44
Carloway,4,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,Lewis,Carloway,321,306,242,58.277151,-6.7779689,f,1892,27
Brenish,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,Lewis,Brenish,304,282,74,58.106276,-7.0987544,m,1910,38
North Tolsta,6,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,0,1,0,1,1,0,0,1,1,0,1,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,1,1,0,1,0,NA,0,0,0,NA,0,0,0,Lewis,North Tolsta,597,559,431,58.341708,-6.2222637,m,1897,24
Lower Pabail,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,0,1,1,NA,0,1,0,0,1,0,0,0,1,0,0,0,0,NA,0,1,1,0,1,0,NA,0,0,0,NA,0,0,0,Lewis,Lower Pabail,481,446,254,58.19727,-6.2391481,m,1897,29
Leurbost,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Lewis,Leurbost,608,584,459,58.143078,-6.4657222,m,1929,25
Gravir,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,Lewis,Gravir,389,368,284,58.054495,-6.4424945,m,1896,41
Scarp,10,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,1,0,1,1,NA,1,0,1,1,1,1,0,1,1,1,1,NA,0,1,1,0,1,NA,1,0,1,1,0,NA,NA,NA,0,0,0,0,Harris,Scarp,143,132,52,58.03024,-7.1355612,f,1904,31
Ardhasaig,11,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,0,1,NA,1,1,1,0,1,1,NA,NA,NA,1,0,1,1,NA,NA,NA,0,NA,0,0,NA,Harris,Ardhasaig,449,426,150,57.92617,-6.8333624,m,1895,31
Grosebay,12,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,0,NA,1,0,0,0,0,1,0,1,NA,0,0,1,1,1,NA,1,0,1,1,0,0,NA,NA,1,0,0,0,Harris,Grosebay,315,301,168,57.840502,-6.7838697,f,1890,32
Leverburgh,13,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,0,0,0,0,1,0,1,NA,0,0,1,1,1,NA,1,0,1,1,0,0,NA,NA,1,0,0,0,Harris,Leverburgh,515,485,145,57.763186,-6.9996067,m,1876,30
St Kilda 1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,St Kilda,St Kilda 1,71,71,56,57.77252641848676,-8.572205459521705,m,1897,36
St Kilda 2,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,St Kilda,St Kilda 2,71,71,56,57.82593519363484,-8.596985997092652,m,1886,34
St Kilda 3,16,1,1,1,1,NA,1,1,1,1,1,1,NA,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,1,1,0,0,NA,0,NA,0,0,0,0,0,0,St Kilda,St Kilda 3,71,71,56,57.85679825503435,-8.57513583317425,m,1906,18
Malaclett,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,North Uist,Malaclett,34,33,25,57.653084,-7.3638748,m,1885,49
Middlequarter,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,North Uist,Middlequarter,292,282,173,57.653326,-7.365153,m,1881,37
Sollas,19,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,NA,0,0,0,0,0,0,North Uist,Sollas,292,282,173,57.653629,-7.3637374,m,1881,41
Knockline,20,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,NA,0,1,1,1,0,1,NA,0,NA,0,0,0,0,0,0,North Uist,Knockline,290,271,226,57.584627,-7.4404794,m,1893,33
Baleshare,21,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,NA,0,0,1,0,0,0,1,1,0,1,0,1,NA,0,0,0,0,0,0,North Uist,Baleshare,324,288,112,57.524175,-7.3812633,f,1905,34
Hacleit,22,1,1,1,NA,NA,NA,NA,1,NA,1,NA,0,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,1,1,1,0,1,1,1,1,1,NA,0,0,0,1,1,1,1,0,1,0,1,1,0,NA,0,0,0,0,Benbecula,Hacleit,231,219,108,57.412839,-7.3196678,m,1892,28
West Gerinish,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,South Uist,West Gerinish,119,117,67,57.382123,-7.4067502,f,1899,47
Bornish,24,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,0,1,1,1,1,NA,1,1,NA,1,1,1,1,0,1,NA,1,0,0,NA,0,0,0,0,South Uist,Bornish,111,107,70,57.279604,-7.410428,m,1880,40
South Lochboisdale,25,1,1,1,1,1,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,NA,0,1,1,1,0,1,NA,0,NA,0,1,0,1,0,0,South Uist,South Lochboisdale,176,163,153,57.144486,-7.305958,m,1890,40
Baile,26,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,NA,1,0,1,1,0,1,NA,1,0,0,0,0,1,0,0,Eriskay,Baile,454,424,194,57.087204,-7.2907767,m,1895,41
Eoligarry,27,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,0,1,1,1,0,0,0,NA,0,NA,NA,1,0,1,0,NA,NA,1,0,1,1,0,0,NA,NA,0,0,0,0,Barra,Eoligarry,261,241,167,56.991102,-7.4065305,m,1883,28
Castlebay 1,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,Barra,Castlebay 1,82,63,6,56.957569,-7.4899858,m,1887,50
Castlebay 2,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,Barra,Castlebay 2,82,63,6,56.95786,-7.4921703,m,1882,47
Castlebay 3,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,Barra,Castlebay 3 [recte Glen],322,285,66,56.958197,-7.4916599,f,1886,46
Shannochie,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Arran,Shannochie,1904,1133,17,55.440676,-5.2107543,m,1863,25
Kilpatrick,32,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Arran,Kilpatrick,1904,1133,17,55.491547,-5.3257439,m,1871,14
Machrie,33,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Arran,Machrie (recte Laggmore),1904,1133,17,55.537905,-5.3451498,m,1868,19
Brodick,34,1,1,1,1,1,1,1,1,0,1,1,1,0,NA,1,1,0,1,0,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,NA,NA,0,0,0,0,0,0,NA,0,0,Arran,Brodick,838,254,1,55.646416,-5.373339,m,1876,18
Catacol,35,1,1,1,1,1,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,Arran,Catacol,558,474,4,55.703023,-5.3115876,f,1873,14
Carradale 1,36,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Kintyre,Carradale 1,395,298,0,55.607432,-5.4917174,m,1881,14
Carradale 2,37,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Kintyre,Carradale 2,395,298,0,55.586255,-5.4766269,m,1881,16
Muasdale,38,1,1,1,1,NA,1,0,0,0,0,1,NA,0,1,1,0,1,0,0,0,1,NA,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,NA,1,0,NA,1,0,1,1,0,0,NA,0,NA,0,NA,0,0,NA,0,Kintyre,Muasdale,1293,825,17,55.604075,-5.6672094,m,1891,15
Campbelltown,39,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Kintyre,Campbelltown (recte Killean),1293,825,17,55.634515,-5.6716455,m,1876,17
Ardminish,40,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,0,1,0,1,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Gigha,Ardminish,401,325,24,55.667978,-5.7543305,m,1879,17
Portchoillan,41,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Kintyre,Port[a]choillan,1293,825,17,55.75437,-5.5713022,f,1875,17
Tarbert,42,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Kintyre,Tarbert,1201,513,11,55.857553,-5.4209156,m,1870,8
Druimdrishaig,44,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Mid-Argyll,Druimdrishaig,388,258,12,55.859942,-5.6479971,m,1894,10
Glendaruel,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowal,Glendaruel,323,229,0,56.013568,-5.2225379,f,1876,2
Stuckreoch,46,1,1,1,NA,1,1,1,1,NA,0,1,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Cowal,Stuckreoch,574,314,1,56.143721,-5.1403575,f,1883,10
Auchindrain,47,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Mid-Argyll,Auchindrain,205,133,0,56.151455,-5.1893062,m,1881,18
West Loch Fyne,48,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Mid-Argyll,West Loch Fyne,483,336,12,56.113474,-5.2666119,m,1876,12
Duntroon,49,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Mid-Argyll,Duntroon,695,507,11,56.13268,-5.481878,m,1893,21
North Knapdale,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,NA,0,0,0,0,1,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Mid-Argyll,North Knapdale,805,711,43,56.072713,-5.5853556,m,1887,24
Inverlussa,51,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,0,1,NA,1,1,1,0,1,NA,NA,1,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Jura,Inverlussa,48,41,4,56.016881,-5.7833399,m,1895,21
Ardfarnal,52,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,0,0,0,0,NA,NA,1,0,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Jura,Ardfarnal,147,129,22,55.870204,-5.9017904,m,1896,19
Port Askaig,53,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Islay,Port Askaig,73,64,16,55.809146,-6.1192413,f,1893,18
Port Ellen,54,1,1,0,1,1,NA,1,1,1,1,NA,1,1,0,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Islay,Port Ellen,893,814,120,55.626688,-6.1954251,m,1932,14
Bowmore,55,1,1,1,1,1,NA,1,0,1,1,NA,1,1,0,0,1,NA,1,1,1,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Islay,Bowmore,848,707,66,55.74939,-6.2883403,m,1872,17
Rhinns,56,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Islay,Rhinns [recte Tormisdale],109,97,38,55.737262,-6.4767256,m,1911,18
Lower Kilchattan,57,1,0,1,1,1,NA,1,1,1,1,NA,1,1,1,0,1,NA,1,0,1,1,0,1,NA,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Colonsay,Lower Kilchattan,321,283,19.4,56.065754,-6.2430724,f,1876,26
Loch Beag,58,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Mid-Argyll,Loch Beag,394,273,7,56.199397,-5.5461497,f,1874,22
Ellenabeich,59,1,1,1,1,1,NA,1,1,0,1,NA,1,1,0,0,1,NA,1,0,0,0,1,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Easdale,Ellenabeich,311,302,105,56.299713,-5.6480099,m,1880,15
Kilmore,60,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,NA,0,0,1,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,South Lorn,Kilmore,476,362,7,56.369645,-5.4343081,m,1890,20
Kilchrenan,61,1,1,0,1,1,1,1,0,1,0,1,1,1,NA,0,0,1,0,0,1,NA,1,NA,1,0,0,0,1,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,NA,0,South Lorn,Kilchrenan,257,211,3,56.352118,-5.181766,m,1894,18
Inverlochy,62,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,South Lorn,Inverlochy,1254,796,18,56.411039,-4.9159483,f,1882,15
Stronmilchan,63,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,NA,0,1,1,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,South Lorn,Stronmilchan,1254,796,18,56.424975,-5.0013118,m,1883,22
Taynuilt,64,0,0,NA,NA,1,NA,1,0,NA,0,NA,1,NA,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,1,NA,1,0,1,0,0,0,NA,0,0,0,1,0,South Lorn,Taynuilt,722,539,12,56.431029,-5.252722,f,1886,9
Achadacallen,65,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,South Lorn,Achadacallen,722,539,12,56.443843,-5.2954804,f,1898,19
