sgds_point,id,a' c[h]as,a' chas b[h]eag,leis an [t-]sùil,f[h]ir bhig,a' chathair b[h]eag,an f[h]ir bhig,na balaich b[h]eaga,an t-sùil g[h]las,fhir b[h]ig,an [t-]sùil,an fhir b[h]ig,le sùil g[h]lais,fh[i]r bhig,[na] mnatha,[na] sùla glaise,[na] coise bige,an fh[i]r bhig,na [c]oise bige,na casan beag[a],fhir bh[i]g,na [mnatha],na cathraichean beag[a],[na] bà,an fhir bh[i]g,[na] cathrach bige,na balaich bheag[a],na sùla [g]laise,na sùilean glas[a],na [bà],na c[oi]se bige,na coise b[i]ge,nam [fear] beaga,na coise [b]ige,leis a' cho[i]s bhig,na cois[e] bige,don [bhoin],na cathrach b[i]ge,don [mhnaoi],na coise big[e],le c[oi]s bhig,na sùl[a] glaise,leis a' chois bh[i]g,leis an t-sùil g[h]lais,an [z]ùil ghlas,dà mhnaoi mhò[i]r,dà mhnaoi m[h]òir,le cois bh[i]g,na sùla gla[i]se,le sùil gla[i]s,leis an t-sùil ghla[i]s,na [cathrach] bige,na [sùla] glaise,dà [mhnaoi],nan [cas] beaga,nan [sùl] glas,district,township,total_1891,gaelic_1891,mono_1891,lat,lon,gender,yob,aggregate
Strathy Point,137,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,0,0,1,0,1,NA,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North Sutherland,Strathy Point,776,684,35,58.557263,-4.0125605,m,1890,25
Portskerra,138,1,1,NA,NA,1,1,1,1,NA,1,0,1,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,1,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,North Sutherland,Portskerra,493,444,16,58.558321,-3.9438599,m,1884,9
Strath Halladale,139,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North Sutherland,Strath Halladale,400,288,5,58.471885,-3.909641,m,1871,15
Braemore,140,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Caithness,Braemore,92,46,2,58.241118,-3.593798,m,1869,14
West Helmsdale,141,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,West Helmsdale,378,229,2,58.112866,-3.6818992,m,1868,13
Brora 2,143,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,Brora 2,241,111,0,58.011571000000004,-3.8586437,f,1892,11
Golspie,144,1,0,1,1,1,NA,0,1,0,1,NA,0,0,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,0,0,NA,NA,1,NA,0,NA,0,NA,0,NA,0,0,0,1,1,0,1,0,0,0,0,NA,0,0,NA,NA,East Sutherland,Golspie,934,469,5,57.969618,-3.9926245,m,1883,10
Muie,145,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,Muie,312,205,10,58.005229,-4.2522685,m,1878,15
Lairg,146,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,Lairg,315,188,0,58.020391,-4.4056198,f,1878,16
Gruids,147,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,1,0,NA,0,0,0,NA,0,0,0,East Sutherland,Gruids,315,188,0,58.0018,-4.4382215,m,1871,15
Airdens,149,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,Airdens,255,198,6,57.913662,-4.3187724,m,1868,14
Migdale,150,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,Migdale,255,198,6,57.894846,-4.3119579,f,1877,14
Embo,151,1,0,1,0,0,1,0,1,0,1,1,0,0,NA,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,NA,0,0,NA,NA,0,NA,NA,East Sutherland,Embo,315,188,3,57.908539,-4.0042796,m,1901,7
Amat,152,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,Amat,112,102,8,57.870518,-4.5811017,m,1880,15
Rhaanich,153,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,Rhaanich [recte Edderton],642,381,24,57.805019,-4.1634237,m,1873,10
Skinnerton,154,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,East Sutherland,Skinnerton,1703,947,58,57.813209,-3.9079812,m,1879,15
Shandwick,155,1,1,1,0,1,NA,0,1,1,1,NA,1,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,0,NA,NA,0,NA,NA,Easter Ross,Shandwick,361,237,8,57.749927,-3.9338677,f,1888,10
Strathy,156,1,1,NA,1,1,1,1,NA,1,NA,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,1,0,NA,0,NA,0,NA,0,0,0,Easter Ross,Strathy,1038,567,16,57.750426,-4.2817684,m,1874,10
Docharty,157,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Easter Ross,Docharty,298,160,4,57.614622,-4.4791976,m,1879,16
Knockfarrel,158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Easter Ross,Knockfarrel,1135,805,113,57.58704,-4.5107838,f,1872,19
Milton (E Ross),159,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Easter Ross,Milton (E Ross),708,555,23,57.55304,-4.8427904,m,1867,18
Culbokie,160,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Easter Ross,Culbokie,1699,1040,65,57.581586,-4.3263882,f,1874,8
Brae of East Kinkell,161,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Easter Ross,Brae of East Kinkell,358,191,5,57.553414,-4.3914542,m,1881,10
Altyre,162,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Invernesshire,Altyre,949,517,32,57.475065,-4.4930848,m,1900,15
Loaneckhime,163,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Invernesshire,Loaneckhime,219,153,21,57.430162,-4.4916951,f,1880,18
Balmore,164,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Invernesshire,Balmore,104,87,1,57.357504,-4.7444995,m,1889,15
Lochletter,166,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,North West Invernesshire,Lochletter,298,268,71,57.324782,-4.592537,m,1896,9
Achnaconeran,167,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,1,0,NA,0,1,0,0,NA,0,0,1,0,0,1,1,0,1,0,0,0,0,NA,0,0,0,0,North West Invernesshire,Achnaconeran,165,132,21,57.216066,-4.6345961,f,1875,17
Dalcreichart,168,1,1,1,1,1,NA,1,1,1,1,NA,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,1,0,NA,1,0,1,0,1,0,0,0,0,0,NA,0,0,1,1,0,1,NA,0,NA,0,0,0,0,0,0,North West Invernesshire,Dalcreichart,178,154,30,57.216343,-4.6213644,m,1880,16
Trinloist 1,169,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North East Invernesshire,Trinloist 1,82,75,7,57.246677,-4.4544279,f,1869,16
Trinloist 2,170,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North East Invernesshire,Trinloist 2,82,75,7,57.246677,-4.4544279,m,1881,17
Loch Uanagan,171,1,1,0,1,1,1,0,1,1,1,1,NA,1,0,1,1,1,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,North West Invernesshire,Loch Uanagan,596,274,3,57.124574,-4.7107091,f,1868,17
Invergarry,172,1,1,1,1,1,1,NA,1,1,1,1,NA,1,0,0,1,1,1,1,1,0,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,North West Invernesshire,Invergarry,215,156,4,57.065795,-4.8087067,f,1869,22
Easterton,173,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,North East Invernesshire,Easterton,293,150,8,57.534939,-4.0757224,m,1879,8
Castleton,174,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,North East Invernesshire,Castleton,183,138,5,57.46087,-4.0733046999999996,f,1885,9
Milton of Tordarroch,175,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North East Invernesshire,Milton of Tordarroch,236,181,4,57.367975,-4.2130589,f,1878,17
Càrn Bàn,176,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North East Invernesshire,Càrn Bàn,236,181,4,57.294983,-4.2750635,f,1878,15
Glenderness,177,1,1,0,1,1,1,1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,1,1,0,1,0,NA,0,0,0,NA,0,0,0,Moray,Glenferness [recte Terriemore],309,142,0,57.456323,-3.766646,f,1862,14
Ruthven,178,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North East Invernesshire,Ruthven,113,73,2,57.366153,-3.974785,m,1883,16
Tombain,179,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Moray,Tombain,1422,468,4,57.377072,-3.6148025,m,1868,8
Rynechkra,180,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Moray,Rynechkra,57,28,0,57.349042,-3.6966702,f,1882,7
Boat of Garten,181,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Speyside,Boat of Garten,394,237,24,57.253832,-3.7627102,f,1873,7
Tulloch,182,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Speyside,Tulloch,253,182,5,57.204779,-3.6852605,f,1860,11
Giuslich,183,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Speyside,Giuslich,363,230,9,57.190615,-3.7856788,m,1889,15
Moor of Feshie,184,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Badenoch,Moor of Feshie,184,94,5,57.128729,-3.869419,m,1867,19
Drumguish,185,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Badenoch,Drumguish,223,191,2,57.066091,-3.997115,f,1892,15
Loch Buie,186,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Badenoch,Loch Buie,364,267,2,57.067538,-4.1275052,f,1874,18
Knock of Clune,187,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Badenoch,Knock of Clune,364,267,2,57.067538,-4.1275052,m,1890,15
Drumgasg,188,0,0,0,NA,0,1,0,0,NA,0,1,NA,NA,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,Upper Badenoch,Drumgasg,139,107,3,57.007154,-4.2903935,f,1889,6
Braemar,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aberdeenshire,Braemar,301,82,0,57.000652,-3.4023752,f,1883,1
Blair Atholl,190,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,East Perthshire,Blair Atholl,326,118,0,56.790506,-3.8023399,f,1865,6
Balnabodach,191,1,1,0,NA,1,1,1,1,NA,0,1,1,NA,1,1,0,1,0,0,NA,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Balnabodach,489,248,0,56.716465,-3.9458597,m,1873,18
Dunalastair,192,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,North West Perthshire,Dunalastair,547,399,12,56.695852,-4.1081164,m,1879,13
Glenlyon,193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,North West Perthshire,Carie/ Glenlyon,547,399,12,56.684303,-4.2544202,m,1872,22
Kirkmichael,194,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,NA,NA,0,0,0,0,0,NA,0,0,East Perthshire,Kirkmichael,533,215,0,56.704806,-3.4878825,m,1872,7
Ballinluig,195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,East Perthshire,Ballinluig,1449,874,5,56.648433,-3.6813811,f,1876,2
Kincragie,196,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0,NA,0,0,East Perthshire,Kincragie,394,218,1,56.621712,-3.6638938,f,1872,6
Carse,197,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,East Perthshire,Carse,548,417,5,56.612212,-3.9470107,f,1864,11
Fortinghall,198,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,North West Perthshire,Fortinghall,476,388,88,56.598865,-4.0505804,m,1872,6
Woodend,199,0,1,1,1,1,NA,0,0,1,0,NA,1,1,0,0,0,NA,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,North West Perthshire,Woodend,297,226,8,56.597098,-4.1026114,f,1899,12
Roroyare,200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Roroyare,297,226,8,56.59424,-4.265341,m,1873,27
Acharn,201,0,0,0,1,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,1,NA,0,0,0,NA,1,0,0,NA,NA,0,0,NA,0,0,1,0,0,1,NA,0,NA,0,NA,0,0,NA,NA,North West Perthshire,Acharn,1038,702,12,56.562269,-4.0355798,m,1874,5
Carie,202,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Carie,297,226,8,56.505348,-4.211282,f,1884,14
Tullochan,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Tullochan,279,242,9,56.487967,-4.1777838,f,1891,18
Wester Lix,204,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Wester Lix,527,359,5,56.43054,-4.3691276,f,1868,20
Tyndrum,205,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,NA,0,0,1,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Tyndrum,1360,521,53,56.451791,-4.7103921,m,1870,21
Balquidder,206,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,South West Perthshire,Balquidder,728,446,18,56.361495,-4.3792989,m,1875,12
Brig o' Turk,207,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,South West Perthshire,Brig o' Turk,302,158,1,56.235708,-4.377542,m,1869,14
